"1/5000000","1/100000000",200,"10000*Sqrt[10]","100000*Sqrt[2]",10000,500000,10,1,0,0.00001,5.026548245743668e6,0.00004849053383016213745781457064476163715672966870579226125449246647489344759639445023905381349591608362308344106438116854685686700446334914181397873791505916203402183233192184814662257830557474551928270682849689011190743389606748969329664389295127772124240824567561194126240797032310106562452485740777,-43182.0942939284189296613506557388453921168561125509416413273511082442473743569873876518558922873224958472828048846716693377979681517967965935730759992970828651262193448356750537885384870733826619042211242480150166739541673507134675844246923367695839664349202097061786409864551684153270290498590531837
"1/5000000","1/100000000",200,"10000*Sqrt[10]","100000*Sqrt[2]",10000,500000,10,1,0,0.00006,139626.34015954635,0.000048490312606411014778517259163738768596183009265126268641502141903552031282648980004997386089835651301455005795719118064951714575965036347895090927685040503510061725746981101846253176511584486784069484581778243782198859116063976145722641793442346158035206763820489112088727987695567482633489188141635,-43182.0515778342120213514192252760892943946171584488280352431859930176435171424742869797934180284506379609735720954587124781751041685071934073620729033096664845200603777235603050606035150799904129609132580012143926484504626837203333584905519427594208149104352884799844688996314014748736109869232086949
"1/5000000","1/100000000",200,"10000*Sqrt[10]","100000*Sqrt[2]",10000,500000,10,1,0,0.00011,41541.721039203876,0.0000484897753536712779221270172305479185913325189286204578153363764218521659588668354334467373525773591507509846086683964255847151220302711913259085796925869915279896801540097457561382764175345079747174142188563132482607974972982317312951319670831285376025420088857107505855729957778125190089796604565154,-43181.9478435427100839041271342331692515344055978324537039149873745522148542799037860008656930860054328287987312164393553094697387636556480906279825666969384086117186708191142041600141048584597421356865233710358281008509348642216846438805196722602024499283748666634721299631474711027179313685636296828
"1/5000000","1/100000000",200,"10000*Sqrt[10]","100000*Sqrt[2]",10000,500000,10,1,0,0.00016,19634.954084936202,0.0000484889220842988657465756883403766250012737264522320807487657746269996145636760239852763876145648584990226456605649789489411491253297507355465940069180141082496071781947763641635868837570810553451041805316539180787312612531540067048565499939204072972944703022587727603597970759685589546047619769204171,-43181.7831030386125599594580636138063221620834338061848451908601678672938088171833658315488080757062036395498780876320985534785285700796820109769959363660597757575408482579504689276625785312080588621404855492904671645752821578885891525000608102500552854347308315834739100583625334351968855001817403093
"1/5000000","1/100000000",200,"10000*Sqrt[10]","100000*Sqrt[2]",10000,500000,10,1,0,0.00021,11398.068584452763,0.0000484877528179239025834074050172086079500123677254959867164314450969513902518491235963552223372579409219728855933253164210138248325237117161229868066576792292958927148387209875370981562907950162581695222480709624331621520042598770137980698696124860202370302553534805864020639471300453925147914012401257,-43181.5573753524035056298804483971645478318299510840644974927786674082688765574476785503546386196485553453738880085128343154152524696513720584095023924755410171682822652072861651794394483066688432710949213875047616395568812638431642210868992672670812986383349709004393224418853774905904637133278351085
"1/5000000","1/100000000",200,"10000*Sqrt[10]","100000*Sqrt[2]",10000,500000,10,1,0,0.00026000000000000003,7435.722257017261,0.0000484862675814588530110528000483743978529007911032103566896252612166104217206960204123708544184932147048536721410133688826214238532913216344580627896076453888093302656013547486814971726530190159190080231433763620202274171779908822118839911736773340364455267265225424282550675860070414716762801420509257,-43181.2706865548467757718535154697077943226914093267942864505761853356999118516444577057810615068477768301354390322540492852658386298779331867488098659217433850614267898582844845355269637391399516728172366954870846508953461225681537694413822411212643893132117763310264213953160516794497786098247664455
"1/5000000","1/100000000",200,"10000*Sqrt[10]","100000*Sqrt[2]",10000,500000,10,1,0,0.00031000000000000005,5230.539277568852,0.0000484844664091096818400376509909359037841573176956845724756422097892198134060649245126627820865164981931053999094864264042904462123655916864035075602734434058766110009091819682604689718282020771893806912114678266347464972578314748395127751929686765019306506436479126351368374678051950947567586393231775,-43180.923069749446742422497307370765464626712881960214707817655074883356446244921003687546014398865301190700806986709430681145025516435299629943740275575956781443380353383546057161922759889156876407590373543411268345930572400466670789575811898462103605013359467292489413328520403007729824596023133888
"1/5000000","1/100000000",200,"10000*Sqrt[10]","100000*Sqrt[2]",10000,500000,10,1,0,0.00036,3878.5094488762875,0.0000484823493423900051885995062721006871152119916796825401596365786313356500607417781705341036328651545335290085938393641980223145369703261288620766166980189442352289537536753648285424185048997381758774165473668417273930733586738960956009226309694101664338387777840224928288558916651311857509200250705633,-43180.5145650628786204618498582241035700857770126400044645691805688128404862538808146096798752807248978889116512117199265851063897415863488492865718956142178954313785715944789699589398476592116816140564514177926544655688652995766351037220696746090758719436416602985626514594182731580048812432686660779
"1/5000000","1/100000000",200,"10000*Sqrt[10]","100000*Sqrt[2]",10000,500000,10,1,0,0.00041000000000000005,2990.2131146601237,0.0000484799164301382147470526581475896042338029112804325145904582323461294402369763599251742451871749144136320253447048875775268527740329970408256210155286100967839236917730583014427170460976504866347906013531371417326513050028260255246829461804862106217859042629731618263201307975114801991801973100250842,-43180.0452196333935700646581061954682053046155431749776321976453067665227055532355378465856995697568120007186883189071191036681679573217583397987787843111865376724279619508583735279897705809493844845203715146024717408644466536116501169987157187670846263481194827952692833784374685493091374014959955797
"1/5000000","1/100000000",200,"10000*Sqrt[10]","100000*Sqrt[2]",10000,500000,10,1,0,0.00046000000000000007,2375.4953902380284,0.0000484771677285375536093686635501045124054784778800443327035153327497352305573313338871255522418017245768280650191998723628928362248461280900764859520901428636906677114799329293434563629638340244119157939355789546258467266130023579426435960655219188454028911146193706627743664187317571939422646949101841,-43179.5150875972048436324928977911227197269123578947476844819662895968465278151156285385848587874996111511016321369837794818385081551440033295397111880765957187404065484809371077301107726541886198247822471559740801518317627293815661567103973565263643226675147840021230139163218126571058740871103873163
